id,x,y,h,lat,lon,z,gnd_elev,source,validity,eTOD_found,eTOD_name,eTOD_z,eTOD_h,eTOD_descr,LAC_Name
01.03.42,358287.0217,5647381.857,138.2600017,50.96059554,6.981995577,184.27,46.00999832,3dm_32_358_5647_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 632-10,194.0052,147.76704,BUILDING,Colonia Haus
01.03.43,354712,5643167.565,138.1775014,50.92183727,6.932849941,190.43,52.25249863,3dm_32_354_5643_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 167-10,184.7088,133.01472,BUILDING,Uni-Center
01.03.88,357506.6,5645131.71,116.0800008,50.94018349,6.971824798,161.63,45.54999924,3dm_32_357_5645_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 645-10,151.72944,106.10088,ANTENNA,Koeln Triangle
01.03.89,359745.83,5643005.47,115.96,50.92161961,7.004486959,161.46,45.5,3dm_32_359_5643_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 263-10,160.02,115.00104,TOWER,Pollonius
01.03.94,358908.77,5643318.58,114.9099994,50.92423284,6.992466346,163.02,48.11000061,3dm_32_358_5643_1_nw.laz,2022-02,false,,,,,TUV-Rheinland-Turm
01.03.00,354725.3374,5645982.704,264.2675012,50.94712512,6.93193,312.86,48.59249878,3dm_32_354_5645_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 204-10,316.59576,268.10208,TOWER,Colonius FernsehturmColonius Fernsehturm
01.03.18,355512.1,5646065.561,166.5475027,50.94807564,6.943081661,216.74,50.19249725,3dm_32_355_5646_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 271-10,215.15832,165.01872,ANTENNA,Koelnturm (Mediapark)
01.03.23,356489.576,5645299.954,157.11,50.94143961,6.95728689,212.36,55.25,3dm_32_356_5645_1_nw.laz,2022-02,true,NORDRHEIN-WESTFALEN 92-10,212.50656,157.4292,SPIRE,Koelner Dom
1.3.1071,357868.6901,5643429.776,61.17250046,50.92498317,6.977595366,106.84,45.66749954,3dm_32_357_5643_1_nw.laz,2022-02,false,,,,,Silos am Siegburger Str.
1.3.1097,355188.2949,5645031.78,60.83249954,50.93868752,6.938739368,110.04,49.20750046,3dm_32_355_5645_1_nw.laz,2022-02,false,,,,,Volksbank Koeln
1.3.1099,350264.2876,5648454.922,60.76249908,50.96822357,6.867430984,113.49,52.72750092,3dm_32_350_5648_1_nw.laz,2022-02,false,,,,,Kamin Heizwerk Bocklemuend
1.3.114,356540.36,5640995.14,107.2999992,50.90276821,6.959703333,158.25,50.95000076,3dm_32_356_5640_1_nw.laz,2022-01,false,,,,,DLF-Funkhaus
1.3.1140,359979.65,5649374.248,60.15499908,50.9789188,7.005359967,106.57,46.41500092,3dm_32_359_5649_1_nw.laz,2022-02,false,,,,,BASF Kamin
1.3.121,354625.72,5645871.683,104.0999991,50.9461013,6.930536125,152.39,48.29000092,3dm_32_354_5645_1_nw.laz,2022-02,false,,,,,Deutsche Telekom AG Innere Kanalstr.
1.3.132,354860.83,5646334.773,99.83000153,50.9503348,6.933701226,150.43,50.59999847,3dm_32_354_5646_1_nw.laz,2022-02,false,,,,,Herkules-Hochhaus
1.3.141,356220.45,5644506.41,98.18000183,50.93424344,6.953775183,151.35,53.16999817,3dm_32_356_5644_1_nw.laz,2022-02,false,,,,,Deutsche Telekom AG Turm Innenstadt
1.3.145,354921.4433,5643290.26,97.39249817,50.92299022,6.935794431,147.16,49.76750183,3dm_32_354_5643_1_nw.laz,2022-02,false,,,,,Justizzentrum
1.3.163,352955.846,5644969.302,94.73499817,50.93756689,6.907152843,141.94,47.20500183,3dm_32_352_5644_1_nw.laz,2022-02,false,,,,,DKV Gebaude
1.3.172,357404.036,5644826.846,93.94249924,50.9374196,6.970493366,142.33,48.38750076,3dm_32_357_5644_1_nw.laz,2022-02,false,,,,,Lanxess Tower
1.3.217,357427.97,5641497.67,88.10999878,50.90750431,6.97212226,138.08,49.97000122,3dm_32_357_5641_1_nw.laz,2022-01,false,,,,,Krohstr. 4 (Bayenthal)
1.3.223,356802.7,5641991.01,87.38999893,50.91178146,6.96305657,137.52,50.13000107,3dm_32_356_5641_1_nw.laz,2022-01,false,,,,,AREO Turm
1.3.231,356703.7851,5646382.369,86.21499954,50.95126641,6.959845012,135.36,49.14500046,3dm_32_356_5646_1_nw.laz,2022-02,false,,,,,Ringturm
1.3.237,357386.99,5645609.79,85.86250031,50.94444968,6.969931349,131.37,45.50749969,3dm_32_357_5645_1_nw.laz,2022-02,false,,,,,Gedenken an NS- Messelager
1.3.240,353617.069,5643425.204,85.39000137,50.9237715,6.917263392,136.08,50.68999863,3dm_32_353_5643_1_nw.laz,2022-02,false,,,,,Uniklinik
1.3.261,356795.77,5644969.68,82.54999786,50.93855053,6.961772763,128.81,46.26000214,3dm_32_356_5644_1_nw.laz,2022-02,false,,,,,Gross St. Martin
1.3.275,357297.6038,5644110.161,81.64999908,50.93095004,6.96927898,120.94,39.29000092,3dm_32_357_5644_1_nw.laz,2022-02,false,,,,,Severinsbruecke
